section,root,menu_path,slug,page_title,url,position,language,source_url,characters,sha256,preview
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,1,,,280,82281caa6570b6cc6c73cf3c9996a6170a9995b0f496c1901c5e8a72b644384f,// Index.ets
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,2,,,591,4336a36b4a95d3023018a2503e40da3f7148694f023e99ad88c8da79d19814b3,// Index.ets
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,3,,,56,59a36ec9007d05de6d7482c966dfcd72ccc6faeff67930814e6ea00a3782d240,{
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,4,,,559,f28f36f0bce4bb33462d4dc688f1e7d1a4995e4fd075f8b5194e875c005afc06,// Second.ets
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,5,,,1238,528ee2ca2bd27a6ea9fd88824d98ab9cedddaf8caefb5e9fdf6bda871cfe9e12,// Index.ets
入门,基础入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,start-with-ets-stage,构建第一个HarmonyOS应用（ArkTS）,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,6,,,1271,ad1e23677bfc4755920cc28d7832752eb1d9cff3529159b9eda3b66e4bdd9aae,// Second.ets
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAP,hap-package,HAP,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-package,1,,,175,a1303c99044c1a70de0dd4c551e83ef574eb1f900cfea947b03de54ec6bb7e96,# 安装、更新，多HAP可以指定多个文件路径
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAP,hap-package,HAP,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-package,2,,,232,aabc3cdb69e281ce6c19f082c5b3a0a0203cc56429a5fcd6ec8a260c7d6f5041,# 先执行hdc shell才能使用bm工具
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,1,,https://gitcode.com/HarmonyOS_Samples/guide-snippets/blob/HarmonyOS-7.0-beta2-20260630/bmsSample/HarPackage/library/oh-package.json5#L16-L40,44,78bb52392b7d7a44c4204f045cac01ce81ab678058172780fe556c58e9b6b956,{
入门,基础入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAR,har-package,HAR,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/har-package,2,,https://gitcode.com/HarmonyOS_Samples/guide-snippets/blob/HarmonyOS-7.0-beta2-20260630/bmsSample/HarPackage/library/src/main/ets/components/mainpage/MainPage.ets#L16-L48,809,2b46d2ea4c59603b912b2d911a73e6249e0674d3721fad48ba5ef926ec632caa,// library/src/main/ets/components/mainpage/MainPage.ets
