ordinal,kind,section,depth,title,menu_path,node_id,parent_id,is_leaf,has_children,has_document,slug,url,label_no
1,section,入门,-1,入门,入门,section:2e2cfe1acfcd44689991247b08ec62b1,,False,True,False,,,2e2cfe1acfcd44689991247b08ec62b1
2,group,入门,0,基础入门,入门 > 基础入门,0002017860242516335775245dc981a4,,False,True,False,,,2e2cfe1acfcd44689991247b08ec62b1
3,document,入门,1,应用开发导读,入门 > 基础入门 > 应用开发导读,0002017860242516335783bfff3f59cd,0002017860242516335775245dc981a4,True,False,True,application-dev-guide,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-dev-guide,
4,document-branch,入门,1,快速入门,入门 > 基础入门 > 快速入门,0002017860242516335798348993951a,0002017860242516335775245dc981a4,False,True,True,quick-start,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/quick-start,
5,document,入门,2,开发准备,入门 > 基础入门 > 快速入门 > 开发准备,000201786024251633585514e3260b97,0002017860242516335798348993951a,True,False,True,start-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-overview,
6,document,入门,2,构建第一个HarmonyOS应用（ArkTS）,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,00020178602425163358977c32816c86,0002017860242516335798348993951a,True,False,True,start-with-ets-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,
7,document-branch,入门,1,开发基础知识,入门 > 基础入门 > 开发基础知识,000201786024251633580ffa06022936,0002017860242516335775245dc981a4,False,True,True,development-fundamentals,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/development-fundamentals,
8,document-branch,入门,2,应用程序包基础知识,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识,000201786024251633586cd96db920fb,000201786024251633580ffa06022936,False,True,True,application-package-fundamentals,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-fundamentals,
9,document,入门,3,应用程序包概述,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包概述,0002017860242516335977b01e5cb72c,000201786024251633586cd96db920fb,True,False,True,application-package-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-overview,
10,document,入门,3,应用程序包结构,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包结构,00020178602425163360627ffda0ddb5,000201786024251633586cd96db920fb,True,False,True,application-package-structure-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-structure-stage,
11,document-branch,入门,3,应用程序包开发与使用,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用,000201786024251633607f38398adf78,000201786024251633586cd96db920fb,False,True,True,application-package-dev,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-dev,
12,document,入门,4,HAP,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAP,0002017860242516336188764577f825,000201786024251633607f38398adf78,True,False,True,hap-package,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-package,
