ordinal,section,menu_path,depth,title,node_id,kind,slug,url,page_status,attempts,checked_at,official_title,updated_date,display_update_time,device_version,html_length,text_length,content_sha256,heading_count,code_count,table_count,admonition_count,image_count,summary,error
3,入门,入门 > 基础入门 > 应用开发导读,1,应用开发导读,0002017860242516335783bfff3f59cd,document,application-dev-guide,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-dev-guide,success,1,2026-08-10T17:54:14+08:00,应用开发导读,2026-08-06 13:50:41,2026-04-20 06:34:33,,2147,938,8ba359eea64c9b1d1cc1e2412aa8125c80a6dd6851254290fabd170b7ce0cc16,5,0,0,0,0,应用开发文档用于指导开发者通过HarmonyOS SDK提供的开放能力完成应用开发。在使用应用开发文档前，推荐您通过 知识地图 了解应用开发完整旅程。 在应用开发的文档中，您可以获取到如下内容。 入门可以帮助开发者了解应用开发的基本方法。 通过这一部分内容的学习和初步实践，开发者可以快速构建出首个HarmonyOS应用，掌握应用程序包结构、资源文件的使用以及ArkTS的核心功能和语法等基础知识，为后续的应用开发奠定基础。 从HarmonyOS NEXT Developer Preview1（API 11）版本开始，HarmonyOS SDK以Kit维度提供丰富、完备的开放能力，涵盖应用框架、系统、媒体、图形、应用服务、AI六大领域，例如： 应用框架相关Kit开放能力：Ability Kit（程序框架服务）、ArkUI（方舟UI框架）等。 系统相关Kit开放能力：Universal Keystore Kit（密钥管理服务）、Network Kit（网络服务）等。 媒体相关Kit开放能力：Audio Kit（音频服务）、Media Library Kit（媒体文件管理服务）等。 图形相关Kit开放能力：ArkGraphics 2D（方舟2D图形服务）、Graphics Accelerate Kit（图形加速服务）等。 应用服务相关Kit开放能力：Game Service Kit（游戏服务）、Location Kit（位置服务）等。 AI相关Kit开放能力：Intents Kit（意图框架服务）、CANN Kit（CANN异构计算框架服务）等。 我们针对重点开放能力提供了开发指导，助力开发者高效开发。详情请参见“开发”目录下相关内容。 DevEco Studio工具是HarmonyOS应用开发的推荐IDE工具。 在 工具 部分，讲解了DevEco Studio工具的详细用法，包括使用该工具进行工程创建、应用签名、应用调试、应用安装运行的指导。 API参考提供了HarmonyOS SDK各Kit开放能力的全量组件和接口的说明文档，可以帮助开发者快速查找到指定接口的详细描述和调用方法。详情请参见 API参考 。,
4,入门,入门 > 基础入门 > 快速入门,1,快速入门,0002017860242516335798348993951a,document-branch,quick-start,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/quick-start,success,1,2026-08-10T17:54:14+08:00,快速入门,2026-08-06 13:50:41,2026-03-09 02:50:43,,511,33,ffad2bb27ca872ca7ba87c5b4d5bb4f603988835cb6e3831c9be299ed2349ca5,1,0,0,0,0,构建第一个HarmonyOS应用（ArkTS）,
5,入门,入门 > 基础入门 > 快速入门 > 开发准备,2,开发准备,000201786024251633585514e3260b97,document,start-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-overview,success,1,2026-08-10T17:54:15+08:00,开发准备,2026-08-06 13:50:43,2026-06-16 09:03:21,,4477,1105,50c28d76b7dd9af5c12de73be0b25b09dc70354c3fac14ade52b4e30248c4022,5,0,1,0,1,本文档适用于HarmonyOS应用开发的初学者。通过构建一个简单的具有页面跳转/返回功能的应用（如下图所示），快速了解工程目录的主要文件，熟悉HarmonyOS应用开发流程。 在开始之前，您需要了解有关HarmonyOS应用的一些基本概念：UI框架的简单说明、应用模型的基本概念。 HarmonyOS提供了一套UI开发框架，即方舟开发框架（ArkUI框架）。方舟开发框架可为开发者提供应用UI开发所必需的能力，比如多种组件、布局计算、动画能力、UI交互、绘制等。 方舟开发框架针对不同目的和技术背景的开发者提供了两种开发范式，分别是基于ArkTS的声明式开发范式（简称“声明式开发范式”）和兼容JS的类Web开发范式（简称“类Web开发范式”）。以下是两种开发范式的简单对比。 更多UI框架的开发内容及指导，详见 UI开发 。 应用模型是HarmonyOS为开发者提供的应用程序所需能力的抽象提炼，它提供了应用程序必备的组件和运行机制。有了应用模型，开发者可以基于一套统一的模型进行应用开发，使应用开发更简单、高效。 随着系统的演进发展，HarmonyOS先后提供了两种应用模型： FA（Feature Ability）模型： HarmonyOS API 7开始支持的模型，已经不再主推。FA模型开发可见 FA模型开发概述 。 快速入门章节不再详细说明此模型 。 Stage模型： HarmonyOS API 9开始新增的模型，是目前主推且会长期演进的模型。在该模型中，由于提供了AbilityStage、WindowStage等类作为应用组件和Window窗口的“舞台”，因此称这种应用模型为Stage模型。Stage模型开发可见 Stage模型开发概述 。 快速入门以此为例提供开发指导。 快速入门提供了一个含有两个页面的开发实例，并基于Stage模型构建第一个ArkTS应用，以便开发者理解以上基本概念及应用开发流程。 请下载并安装 最新版DevEco Studio ，具体可参照 下载与安装DevEco Studio ，更多工具使用指导可见 工具概述 。 完成上述操作及基本概念的理解后，可参照 构建第一个HarmonyOS应用（ArkTS） 进行下一步体验和学习。,
6,入门,入门 > 基础入门 > 快速入门 > 构建第一个HarmonyOS应用（ArkTS）,2,构建第一个HarmonyOS应用（ArkTS）,00020178602425163358977c32816c86,document,start-with-ets-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/start-with-ets-stage,success,1,2026-08-10T17:54:15+08:00,构建第一个HarmonyOS应用（ArkTS）,2026-08-06 13:50:44,2026-07-28 11:23:46,,16660,5784,1bdfe2eab5dbcbc428b19ec291ddcec9e931eaf4ff8c39f5660ad62571b1e7b6,7,6,0,2,12,为确保运行效果，本文以使用 DevEco Studio 6.1.1 Release版本 为例。 若首次打开 DevEco Studio ，请单击 Create Project 创建工程。如果已经打开了一个工程，请在菜单栏选择 File > New > Create Project 来创建一个新工程。 选择 Application 应用开发（本文以应用开发为例， Atomic Service 对应为元服务开发），选择模板 Empty Ability ，单击 Next 进行下一步配置。 若开发者需要进行Native相关工程的开发，请选择 Native C++ 模板，更多模板的使用和说明请见 工程模板介绍 。 选择 Application 应用开发（本文以应用开发为例， Atomic Service 对应为元服务开发），选择模板 Empty Ability ，单击 Next 进行下一步配置。 若开发者需要进行Native相关工程的开发，请选择 Native C++ 模板，更多模板的使用和说明请见 工程模板介绍 。 进入配置工程界面， Compatible SDK 表示兼容的最低API Version，此处以选择 6.1.1(24) 为例，其他参数保持默认设置即可。 单击 Finish ，工具会自动生成示例代码和相关资源，等待工程创建完成。 AppScope > app.json5 ：应用的全局配置信息，详见 app.json5配置文件 。 entry ：HarmonyOS工程模块，编译构建生成一个 HAP 包。 src > main > ets ：用于存放ArkTS源码。 src > main > ets > entryability ：应用/服务的入口。 src > main > ets > entrybackupability ：应用提供扩展的备份恢复能力。 src > main > ets > pages ：应用/服务包含的页面。 src > main > resources ：用于存放应用/服务所用到的资源文件，如图形、多媒体、字符串、布局文件等。关于资源文件，详见 资源分类与访问 。 src > main > module.json5 ： 模块 配置文件。主要包含HAP包的配置信息、应用/服务在具体设备上的配置信息以及应用/服务的全局配置信息。具体的配置文件说明，详见 module.json5配置文件 。 build-profile.json5 ：当前的模块信息 、编译信息配置项，包括buildOption、targets配置等。 hvigorfile.ts ：模块级编译构建任务脚本。 obfuscation-rules.txt ：混淆规则文件。混淆开启后，在使用Release模式进行编译时，会对代码进行编译、混淆及压缩处理，保护代码资产。详见 开启代码,
7,入门,入门 > 基础入门 > 开发基础知识,1,开发基础知识,000201786024251633580ffa06022936,document-branch,development-fundamentals,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/development-fundamentals,success,1,2026-08-10T17:54:15+08:00,开发基础知识,2026-08-06 13:50:42,2026-06-12 06:54:11,,1033,51,16ae01e08312659dab714634e32287dc17688e1902466cd5c76935e8733bda9e,1,0,0,0,0,"开发基础知识
应用程序包基础知识
应用配置文件
典型场景的开发指导
应用程序包常见问题
应用程序包术语",
8,入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识,2,应用程序包基础知识,000201786024251633586cd96db920fb,document-branch,application-package-fundamentals,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-fundamentals,success,1,2026-08-10T17:54:14+08:00,应用程序包基础知识,2026-08-06 13:50:43,2026-06-12 06:54:11,,862,49,c1a3a486069557197281de16cf9dda015d16d8fc5508534a718069016c03437d,1,0,0,0,0,"应用程序包基础知识
应用程序包概述
应用程序包结构
应用程序包开发与使用
应用程序包安装卸载与更新",
9,入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包概述,3,应用程序包概述,0002017860242516335977b01e5cb72c,document,application-package-overview,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-overview,success,1,2026-08-10T17:54:14+08:00,应用程序包概述,2026-08-06 13:50:47,2026-06-12 06:54:11,,12731,2875,7f93d18077be1f10b0c6b0d1278dcbca4a2595df514ee2d3e4e499fcc0bf6cf8,5,0,3,2,3,在开发应用之前，开发者需要了解应用的设计机制、应用程序包结构等基础知识。 用户应用程序是指运行在设备操作系统之上，为用户提供特定服务的程序，简称“应用”。一个应用所对应的软件包文件，称为“应用程序包”。 系统提供了应用程序包开发、安装、查询、更新、卸载的管理机制，便于开发者开发和管理应用。此外，系统还屏蔽了不同的芯片平台的差异（包括x86/ARM，32位/64位等），保证应用程序包在不同的芯片平台都能够安装运行，使得开发者可以聚焦于应用的功能实现。 支持模块化开发： 一个应用通常包含多种功能，将不同的功能特性按模块来划分和管理是一种良好的设计方式。在开发过程中，开发者可以将每个功能模块作为一个独立的Module进行开发，Module中可以包含源代码、资源文件、三方库、配置文件等，每一个Module可以独立编译，实现特定的功能。这种模块化、松耦合的应用管理方式有利于应用的开发、维护与扩展。 支持多设备适配： 一个应用往往需要适配多种设备类型，在采用多Module设计的应用中，每个Module都会标注所支持的设备类型。Module支持的设备类型不同，有的支持全部类型，有的仅支持特定类型（例如平板）。在应用市场分发应用包时，可以根据设备类型进行精准筛选和匹配，从而合理组合和部署不同的包到对应的设备上。 Module按照使用场景可以分为两种类型： Ability类型的Module： 用于实现应用的功能和特性。每一个Ability类型的Module编译后，会生成一个以.hap为后缀的文件，称为HAP（Harmony Ability Package）包。HAP包可以独立安装和运行，是应用安装的基本单位，一个应用可以包含一个或多个HAP包，包含的HAP包分为以下两种类型。 entry类型的Module：应用的主模块，包含应用的入口界面、入口图标和主功能特性，编译后生成entry类型的HAP。每一个应用分发到同一类型的设备上的应用程序包，只能包含唯一一个entry类型的HAP，也可以不包含。 feature类型的Module：应用的动态特性模块，编译后生成feature类型的HAP。一个应用中可以包含一个或多个feature类型的HAP，也可以不包含。,
10,入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包结构,3,应用程序包结构,00020178602425163360627ffda0ddb5,document,application-package-structure-stage,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-structure-stage,success,1,2026-08-10T17:54:14+08:00,应用程序包结构,2026-08-06 13:50:48,2026-06-12 06:54:11,,7181,2022,f1c15a6b54626ba4215e0a9e5684d5236f33667857921ce2310e044e99cd0f13,4,0,1,2,5,为了让开发者能对应用程序包在不同阶段的形态有更加清晰的认知，分别对开发态、编译态、发布态的应用程序结构展开介绍。 在DevEco Studio上创建项目工程，并尝试创建多个不同类型的Module。根据实际工程中的目录对照本章节进行学习，有助于理解开发态的应用程序结构。 AppScope目录由DevEco Studio自动生成，该目录名称更改会导致当前目录下配置文件和资源加载失败，导致编译报错问题，因此该目录名称请勿修改。 Module目录名称可以由DevEco Studio自动生成（比如entry、library等），也可以自定义。为了便于说明，下表中统一采用ModuleName表示。 包括应用级配置信息、以及Module级配置信息： - AppScope > app.json5 ： app.json5配置文件 ，用于声明应用的全局配置信息，比如应用Bundle名称、应用名称、应用图标、应用版本号等。 - ModuleName > src > main > module.json5 ： module.json5配置文件 ，用于声明Module基本信息、支持的设备类型、所含的组件信息、运行所需申请的权限等。 包括应用级资源文件、以及Module级资源文件，支持图形、多媒体、字符串、布局文件等，详见 资源分类与访问 。 - AppScope > resources ：用于存放应用需要用到的资源文件。 - ModuleName > src > main > resources ：用于存放该Module需要用到的资源文件。 用于编译构建，包括构建配置文件、编译构建任务脚本、混淆规则文件、依赖的共享包信息等。 - build-profile.json5 ： 工程级 或 Module级 的构建配置文件，包括 应用签名 、产品配置等。 - hvigorfile.ts ：工程级或Module级的编译构建任务脚本，开发者可以自定义编译构建工具版本、控制构建行为的配置参数。 - obfuscation-rules.txt ：混淆规则文件。混淆开启后，在使用Release模式进行编译时，会对代码进行编译、混淆及压缩处理，保护代码资产。,
11,入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用,3,应用程序包开发与使用,000201786024251633607f38398adf78,document-branch,application-package-dev,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/application-package-dev,success,1,2026-08-10T17:54:14+08:00,应用程序包开发与使用,2026-08-06 13:50:49,2026-03-09 02:50:43,,626,22,4eec1c661fb377c9f4da533f996e4e8635cd9710262cd748cb93a8a78dc1df93,1,0,0,0,0,"应用程序包开发与使用
HAP
HAR
HSP",
12,入门,入门 > 基础入门 > 开发基础知识 > 应用程序包基础知识 > 应用程序包开发与使用 > HAP,4,HAP,0002017860242516336188764577f825,document,hap-package,https://developer.huawei.com/consumer/cn/doc/harmonyos-guides/hap-package,success,1,2026-08-10T17:54:14+08:00,HAP,2026-08-06 13:50:51,2026-06-12 06:54:11,,5575,2089,9c0021fdcbf7a343dca5267d01a37ad8a57093e349a9b1b63bb18936fe151432,7,2,0,0,0,HAP（Harmony Ability Package）是应用安装和运行的基本单元。HAP包是由代码、资源、三方库、配置文件等打包生成的模块包，其主要分为两种类型：entry和feature。 entry：应用的主模块，作为应用的入口，提供了应用的基础功能。 feature：应用的动态特性模块，作为应用能力的扩展，可以根据用户的需求和设备类型进行选择性安装。 应用程序包可以只包含一个基础的entry包，也可以包含一个基础的entry包和多个功能性的feature包。 单HAP场景：如果只包含UIAbility组件，无需使用ExtensionAbility组件，优先采用单HAP（即一个entry包）来实现应用开发。虽然一个HAP中可以包含一个或多个UIAbility组件，为了避免不必要的资源加载，推荐采用“一个UIAbility+多个页面”的方式。 多HAP场景：如果应用的功能比较复杂，需要使用ExtensionAbility组件，可以采用多HAP（即一个entry包+多个feature包）来实现应用开发，每个HAP中包含一个UIAbility组件或者一个ExtensionAbility组件。在这种场景下，多个HAP引用相同的库文件，可能导致重复打包的问题。 不支持导出接口和ArkUI组件，给其他模块使用。 多HAP场景下，App Pack包中同一设备类型的所有HAP中最多只能包含一个Entry类型的HAP，也可以不包含；可以包含一个或者多个Feature类型的HAP，也可以不包含。 多HAP场景下，在安装或更新时，存在一致性校验，详情参考 应用安装与更新一致性校验 。使用打包工具进行打包成APP时，也会进行合法性校验，详情请参考 打包工具 。 多HAP场景下，同一应用的所有HAP、HSP的签名证书要保持一致。上架应用市场是以App Pack形式上架，应用市场分发时会将所有HAP从App Pack中拆分出来，同时对所有HAP进行重签名，以保证签名证书的一致性。在调试阶段，开发者通过命令行或DevEco Studio将HAP安装到设备上时，要保证所有HAP签名证书一致，否则会出现安装失败的问题，签名操作请参考 配置调试签名 。,
