id,display_name,primary_full_name,primary_url,platforms,component_count,has_compose,has_dockerfile,license_status,selection_score,build_status,http_status,login_status
ec001,ityongsheng/springCloudElderlyCareSystem,ityongsheng/springCloudElderlyCareSystem,https://github.com/ityongsheng/springCloudElderlyCareSystem,github,1,True,True,MIT,256.378,not-tested,not-tested,not-tested
ec002,Fatec-ADS-AMS2026/SeniorCare,Fatec-ADS-AMS2026/SeniorCare,https://github.com/Fatec-ADS-AMS2026/SeniorCare,github,1,True,True,未声明,232.787,not-tested,not-tested,not-tested
ec003,sjr666666/ai-elderly-health-assistant,sjr666666/ai-elderly-health-assistant,https://github.com/sjr666666/ai-elderly-health-assistant,github,1,True,True,MIT,231.22,not-tested,not-tested,not-tested
ec004,RuiQiong1/yanglao-bishe,RuiQiong1/yanglao-bishe,https://github.com/RuiQiong1/yanglao-bishe,github,1,True,True,未声明,215.29,not-tested,not-tested,not-tested
ec005,wuzk20257qw/yanglao,wuzk20257qw/yanglao,https://github.com/wuzk20257qw/yanglao,github,1,True,True,未声明,206.897,not-tested,not-tested,not-tested
ec006,chenbenkong/nursing-home-system,chenbenkong/nursing-home-system,https://github.com/chenbenkong/nursing-home-system,github,1,True,True,Apache-2.0,205.031,not-tested,not-tested,not-tested
ec007,康悦林智慧疗养系统,lk506667090/kyl-sanatorium,https://gitee.com/lk506667090/kyl-sanatorium,gitee,1,False,True,未声明,204.574,not-tested,not-tested,not-tested
ec008,智颐通养老院管理系统,memcacheon/zhiyi-tong,https://gitee.com/memcacheon/zhiyi-tong,gitee,1,False,True,未声明,198.83,not-tested,not-tested,not-tested
ec009,2002yy/smart-elderly-care,2002yy/smart-elderly-care,https://github.com/2002yy/smart-elderly-care,github,1,True,True,未声明,198.793,not-tested,not-tested,not-tested
ec010,养老服务一体化资源整合平台,huang-zejian04/elderly_service_platform,https://gitee.com/huang-zejian04/elderly_service_platform,gitee,1,True,True,未声明,197.482,not-tested,not-tested,not-tested
ec011,中州养老院智慧管理系统,itxinfei/zzyl,https://gitee.com/itxinfei/zzyl,gitee,1,False,True,未声明,194.108,not-tested,not-tested,not-tested
ec012,如初社区居家养老平台,xbmt/ruchu-care,https://gitee.com/xbmt/ruchu-care,gitee,1,False,False,未声明,193.0,not-tested,not-tested,not-tested
ec013,wbb316/Smart-Elderly-Care-Service-Platform,wbb316/Smart-Elderly-Care-Service-Platform,https://github.com/wbb316/Smart-Elderly-Care-Service-Platform,github,1,False,False,未声明,190.427,not-tested,not-tested,not-tested
ec014,byte-love/nuanyang-eldercare,byte-love/nuanyang-eldercare,https://github.com/byte-love/nuanyang-eldercare,github,1,False,True,MIT,189.414,not-tested,not-tested,not-tested
ec015,yushuonanyan/elderly-system-,yushuonanyan/elderly-system-,https://github.com/yushuonanyan/elderly-system-,github,1,False,False,未声明,188.347,not-tested,not-tested,not-tested
ec016,wangtianrui/OldPeopleHome,wangtianrui/OldPeopleHome,https://github.com/wangtianrui/OldPeopleHome,github,1,False,False,未声明,187.146,not-tested,not-tested,not-tested
ec017,养老院管理系统（若依DEMO+AI助手）,a2131467/ceshi,https://gitee.com/a2131467/ceshi,gitee,1,False,False,未声明,186.875,not-tested,not-tested,not-tested
