id,project,upstream,source_status,build_status,http_status,http_code,original_login_status,username,password,portal_detail,display_url,real_app_url,build_error,runtime_error
ec001,ityongsheng/springCloudElderlyCareSystem,https://github.com/ityongsheng/springCloudElderlyCareSystem,cloned-verified,built,http-verified,200,not-implemented,-W,见私有凭据文档,http://127.0.0.1:18000/project/ec001,http://127.0.0.1:18000/display/ec001/,http://127.0.0.1:18001/,,
ec002,Fatec-ADS-AMS2026/SeniorCare,https://github.com/Fatec-ADS-AMS2026/SeniorCare,cloned-verified,built,http-verified,200,login-failed,deployadmin-ec002@example.local,见私有凭据文档,http://127.0.0.1:18000/project/ec002,http://127.0.0.1:18000/display/ec002/,http://127.0.0.1:18002/,,
ec003,sjr666666/ai-elderly-health-assistant,https://github.com/sjr666666/ai-elderly-health-assistant,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec003,http://127.0.0.1:18000/display/ec003/,http://127.0.0.1:18003/,,
ec004,RuiQiong1/yanglao-bishe,https://github.com/RuiQiong1/yanglao-bishe,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec004,http://127.0.0.1:18000/display/ec004/,http://127.0.0.1:18004/,,
ec005,wuzk20257qw/yanglao,https://github.com/wuzk20257qw/yanglao,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec005,http://127.0.0.1:18000/display/ec005/,http://127.0.0.1:18005/,,
ec006,chenbenkong/nursing-home-system,https://github.com/chenbenkong/nursing-home-system,cloned-verified,built,http-verified,200,login-verified,deployadmin,见私有凭据文档,http://127.0.0.1:18000/project/ec006,http://127.0.0.1:18000/display/ec006/,http://127.0.0.1:18006/,,
ec007,lk506667090/kyl-sanatorium,https://gitee.com/lk506667090/kyl-sanatorium,cloned-verified,built,http-verified,200,not-implemented,name,见私有凭据文档,http://127.0.0.1:18000/project/ec007,http://127.0.0.1:18000/display/ec007/,http://127.0.0.1:18007/,,
ec008,memcacheon/zhiyi-tong,https://gitee.com/memcacheon/zhiyi-tong,cloned-verified,built,http-verified,200,login-verified,admin,见私有凭据文档,http://127.0.0.1:18000/project/ec008,http://127.0.0.1:18000/display/ec008/,http://127.0.0.1:18008/,,
ec009,2002yy/smart-elderly-care,https://github.com/2002yy/smart-elderly-care,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec009,http://127.0.0.1:18000/display/ec009/,http://127.0.0.1:18009/,,
ec010,huang-zejian04/elderly_service_platform,https://gitee.com/huang-zejian04/elderly_service_platform,cloned-verified,built,http-verified,200,not-implemented,NAME,见私有凭据文档,http://127.0.0.1:18000/project/ec010,http://127.0.0.1:18000/display/ec010/,http://127.0.0.1:18010/,,
ec011,itxinfei/zzyl,https://gitee.com/itxinfei/zzyl,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec011,http://127.0.0.1:18000/display/ec011/,http://127.0.0.1:18011/,,
ec012,xbmt/ruchu-care,https://gitee.com/xbmt/ruchu-care,cloned-verified,built,http-verified,200,not-implemented,,,http://127.0.0.1:18000/project/ec012,http://127.0.0.1:18000/display/ec012/,http://127.0.0.1:18012/,,
