序号,仓库,平台,类型,状态,端口,访问URL,登录信息,说明
1,3188628462-cmd/smart-elderly-platform,github,,error,8001,http://192.168.100.104:8001,,异常: [Errno 13] Permission denied
2,LQ-500__yikang-companion,?,,error,8002,http://192.168.100.104:8002,,异常: [Errno 13] Permission denied
3,Mratos__nursinghome-vue,?,,error,8003,http://192.168.100.104:8003,,异常: [Errno 13] Permission denied
4,QQ767172261__Smart-elderly-carefall-detection-and-alarm-for-the-elderlyintelligent-elderly-care-fall-detection-an,?,,error,8004,http://192.168.100.104:8004,,异常: [Errno 13] Permission denied
5,Tang1705__Intelligent-Elderly-Care,?,,error,8005,http://192.168.100.104:8005,,异常: [Errno 13] Permission denied
6,a2131467/ceshi,gitee,springboot,build_fail,8006,http://192.168.100.104:8006,,"Maven 构建无 jar: [sudo] password for pve:OR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MissingProjectException"
7,beginroad/bishe,gitee,,error,8007,http://192.168.100.104:8007,,异常: [Errno 13] Permission denied
8,biukiu/disability-housing-system,gitee,,error,8008,http://192.168.100.104:8008,,异常: [Errno 13] Permission denied
9,chen-xiaoyang1/smart_pension,gitee,,error,8009,http://192.168.100.104:8009,,异常: [Errno 13] Permission denied
10,cyb830/smart-elderly-care,gitee,,error,8010,http://192.168.100.104:8010,,异常: [Errno 13] Permission denied
11,elfbobo_admin_admin__KinEcho,?,,error,8011,http://192.168.100.104:8011,,异常: [Errno 13] Permission denied
12,fate-friend/elder-care-suite,gitee,,error,8012,http://192.168.100.104:8012,,异常: [Errno 13] Permission denied
13,gaosc2001/elderly-medical-care-system,gitee,,error,8013,http://192.168.100.104:8013,,异常: [Errno 13] Permission denied
14,geekit/ruchu-care,gitee,,error,8014,http://192.168.100.104:8014,,异常: [Errno 13] Permission denied
15,hepengfei-xy/ai-xhzb-vue-ai3,gitee,frontend,build_fail,8015,http://192.168.100.104:8015,,前端构建无 dist(可能无 build 脚本): [sudo] password for pve:
