08-29 11:45:08.722     0     0 I I00000/HiLog: ========Zeroth log of type: init
08-29 11:45:10.514   384   384 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
08-29 11:45:10.514   384   384 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
08-29 11:45:10.969   384   384 I I02c01/CustCarrierMount: success to update cota carrier
08-30 16:42:45.852  1418  1418 I A04200/WMS: [a92ab1ed05cb5bc, 17db502, 177afe4] modifyPersistentMap, bundleName: com.gxoc.kxbai
08-30 16:42:45.852  1418  1418 I A04200/WINDOW: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBScenePersistent: Set persistentId = 525 isAlive to true
08-30 16:42:45.853  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSPVM: enter FULLSCENE
08-30 16:42:45.853  1418  1418 I A01b09/RECENT: [a92ab1ed05cb5bc, 17db502, 177afe4] RecentPanel: RecentViewParam init
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: initSmallFolderBg isExitToSmallFolder: false
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: initSmallFolderBg isExitToSmallFolder: false
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: initSmallFolderBg isExitToSmallFolder: false
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: initSmallFolderBg isExitToSmallFolder: false
08-30 16:42:45.854  1418  1418 W A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] translateX from 180 to 0. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.854  1418  1418 W A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] translateY from -253.5 to 0. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] scaleX from 0.06041666666666667 to 1. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.854  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] scaleY from 0.06041666666666667 to 1. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.854  1418  1418 W A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] border radius from topLeft: 248.8888888888889, topRight: 248.8888888888889, bottomLeft: 248.8888888888889, bottomRight: 248.8888888888889 to 20. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.854  1418  1418 W A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: [SCBSCS] sceneAlpha from 0 to 1. reason: init, extra: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:45.855  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: set NeedRenderClip clipWidth type of number from 1920 to 2880
08-30 16:42:45.855  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSCS: initSmallFolderBg isExitToSmallFolder: false
08-30 16:42:45.855  1418  1418 I A04200/WINDOW: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBSPVM: updateScenePanelState from 0 to 1
08-30 16:42:45.855  1418  1418 I A01b00/SCB: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBDesktop --> scenePanelState change 1
08-30 16:42:45.857  2100  2100 I A000ff/ThemeEngine: [a92ab1ed05cb5bc, 380e5c0, 2d8fec8] EngineProxy --> Receiving IPC call with matched key sceneState
08-30 16:42:45.857  2100  2100 I A000ff/ThemeEngine: [a92ab1ed05cb5bc, 380e5c0, 2d8fec8] EngineProxy --> onWindowScbStateChange preSceneState: 0, currentSceneState: 1
08-30 16:42:45.861  1418  1418 I A01b00/SCB: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBDesktop --> updateScenePanelState, sceneState:1
08-30 16:42:45.861  1418  1418 I A01c05/FORM: [a92ab1ed05cb5bc, 17db502, 177afe4] PageDesktopViewModel --> localEventListener receive event: launcher.event.REQUEST_FORM_RECYCLE
08-30 16:42:45.861  1418  1418 I A01c05/FORM: [a92ab1ed05cb5bc, 17db502, 177afe4] PageDesktopViewModel --> current recycleFormEventHandler, state = true, currentStartApp = false
08-30 16:42:45.861  1418  1418 I A01b01/HOME: [a92ab1ed05cb5bc, 17db502, 177afe4] SCBDesktopAddViewModel --> closeDesktopAddDialog event:isBackGesture: false isKeyboardShowing: false isSearchPage: false
08-30 16:42:45.861  1418  1418 I A01c05/FORM: [a92ab1ed05cb5bc, 17db502, 177afe4] FormStackExpandView: formstack expand onScenePanelStateChange: 1
08-30 16:42:45.861  1418  1418 I A0ff00/SEARCH: [a92ab1ed05cb5bc, 17db502, 177afe4] [HiSearch]: HiSearchComponent, onScenePanelStateChange, 0, 1
08-30 16:42:45.861  1418  1418 I A0ff00/SEARCH: [a92ab1ed05cb5bc, 17db502, 177afe4] [HiSearch]: SearchInput, onScenePanelStateChange 1
08-30 16:42:45.861  1418  1418 I A01a00/SYS_UI: [a92ab1ed05cb5bc, 17db502, 177afe4] SystemUIView: onScenePanelStateChange: 1
08-30 16:42:45.862  1418  1418 I A01b00/SCB: [a92ab1ed05cb5bc, 17db502, 177afe4] LuoShuStateFSM --> setScenePanelState: 1
08-30 16:42:45.862  1418  1418 I A01b0a/GESTURE: [a92ab1ed05cb5bc, 17db502, 177afe4] AIBarView --> ScenepanelState has change to 1
08-30 16:42:45.862  1418  1418 I A01b0a/GESTURE: [a92ab1ed05cb5bc, 17db502, 177afe4] NavbarWindowManager: updateByScenePanelState:pre:0, cur:1
08-30 16:42:45.862  1418  1418 I A01b0a/GESTURE: [a92ab1ed05cb5bc, 17db502, 177afe4] NavbarWindowManager: update, isFullScreen:[false, false]
08-30 16:42:45.863  1418  1418 I A01b0a/GESTURE: [a92ab1ed05cb5bc, 17db502, 177afe4] NavbarWindowManager: isLandscapeInApp, scenePanelState:1, screenProperty:[2880, 1920]
08-30 16:42:45.863  1418  1418 I A01b0a/GESTURE: [a92ab1ed05cb5bc, 17db502, 177afe4] NavbarWindowManager: updateWindowSize:[288, 1864, 2304, 56]
08-30 16:42:45.863  1418  1418 I A01b00/SCB: [a92ab1ed05cb5bc, 17db502, 177afe4] BaseViewController: updateArea: SCBGestureNavBar,left:288,top:1864,width:2304,height:56
08-30 16:42:45.863  1418  1418 I A01b00/SCB: [a92ab1ed05cb5bc, 17db502, 177afe4] BaseViewController: updateRectInPx: ${this.readableViewType(this.viewType)},left:288,top:1864,width:2304,height:56
08-30 16:42:45.993  1418  1418 W A04204/LOGLIMIT: ==LOGS OVER PROC QUOTA, 131 DROPPED==
08-30 16:42:45.993  1418  1418 I A04204/WMSScb: constructor, id: 552, type: 6, systemName: SCBSceneTitleBar123
08-30 16:42:45.993  1418  1418 I A04204/WMSScb: setSessionTouchable:true this.sessionChangeCallback:undefined
08-30 16:42:45.996  1418  1418 I A04204/WMSScb: requestSystemSceneSession: SCBSceneTitleBar123, screenId: 0 persistentId: 552 sceneType:5
08-30 16:42:45.997  1418  1418 W A04204/WMSScb: SCBSceneTitleBar123 sessionChangeCallback is null 
08-30 16:42:45.997  1418  1418 I A04204/WMSScb: setSessionTouchable:true this.sessionChangeCallback:undefined
